# mapping_set_id: https://w3id.org/lmodel/d3fend/mappings-reference
# license: https://www.apache.org/licenses/LICENSE-2.0
# creator_id: https://github.com/lmodel/d3fend
# mapping_date: 2026-04-01
subject_id,predicate_id,object_id,mapping_justification,subject_label,object_label,mapping_set_id
http://d3fend.mitre.org/ontologies/d3fend.owl#DomainName,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/DomainName,https://w3id.org/semapv/ManualMappingCuration,DomainName,DomainName,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Email,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/uco-master/EmailMessage,https://w3id.org/semapv/ManualMappingCuration,Email,EmailMessage,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/uco-master/Credential,https://w3id.org/semapv/ManualMappingCuration,EncryptedCredential,Credential,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#EventLog,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/EventLog,https://w3id.org/semapv/ManualMappingCuration,EventLog,EventLog,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#File,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/File,https://w3id.org/semapv/ManualMappingCuration,File,File,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#FileEvent,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/uco-master/Action,https://w3id.org/semapv/ManualMappingCuration,FileEvent,Action,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#FileSystem,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/FileSystem,https://w3id.org/semapv/ManualMappingCuration,FileSystem,FileSystem,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Grouping,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Grouping,https://w3id.org/semapv/ManualMappingCuration,Grouping,Grouping,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#HardwareDevice,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/uco-master/Device,https://w3id.org/semapv/ManualMappingCuration,HardwareDevice,Device,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Hostname,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Hostname,https://w3id.org/semapv/ManualMappingCuration,Hostname,Hostname,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#IPAddress,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/IPAddress,https://w3id.org/semapv/ManualMappingCuration,IPAddress,IPAddress,UCO_CLASS_MAPPINGS
